--- Branch Coverage Report ---
Branch 30 executed: true
Branch 31 executed: true
Branch 5 executed: true
Branch 9 executed: true
Branch 37 executed: true
Branch 8 executed: true
Branch 10 executed: true
Branch 14 executed: true
Branch 33 executed: true
Branch 17 executed: true
Branch 18 executed: true
Branch 20 executed: true
Branch 29 executed: true
Branch 2 executed: true
Branch 12 executed: true
Branch 19 executed: true
Branch 22 executed: true
Branch 25 executed: true
Branch 27 executed: true
Branch 32 executed: true
Branch 13 executed: true
Branch 26 executed: true
Branch 1 executed: true
Branch 4 executed: true
Branch 28 executed: true
Branch 34 executed: true
Branch 35 executed: true
Branch 3 executed: true
Branch 7 executed: true
Branch 15 executed: false
Branch 23 executed: true
Branch 24 executed: true
Branch 36 executed: true
Branch 0 executed: true
Branch 6 executed: true
Branch 11 executed: true
Branch 16 executed: true
Branch 21 executed: true
Branch coverage: 97.37%
--- End of Report ---
