--- Branch Coverage Report ---
Branch 44 executed: true
Branch 58 executed: true
Branch 70 executed: false
Branch 98 executed: true
Branch 14 executed: true
Branch 45 executed: true
Branch 49 executed: true
Branch 65 executed: true
Branch 92 executed: true
Branch 50 executed: true
Branch 6 executed: true
Branch 7 executed: true
Branch 22 executed: true
Branch 23 executed: true
Branch 40 executed: true
Branch 48 executed: true
Branch 54 executed: true
Branch 13 executed: true
Branch 25 executed: true
Branch 37 executed: true
Branch 39 executed: true
Branch 52 executed: true
Branch 62 executed: true
Branch 87 executed: true
Branch 0 executed: true
Branch 8 executed: true
Branch 9 executed: true
Branch 11 executed: true
Branch 29 executed: true
Branch 41 executed: true
Branch 67 executed: true
Branch 74 executed: true
Branch 38 executed: true
Branch 73 executed: true
Branch 91 executed: true
Branch 97 executed: true
Branch 4 executed: true
Branch 12 executed: true
Branch 16 executed: true
Branch 57 executed: true
Branch 72 executed: true
Branch 76 executed: true
Branch 79 executed: true
Branch 80 executed: true
Branch 26 executed: true
Branch 66 executed: true
Branch 71 executed: true
Branch 77 executed: true
Branch 83 executed: true
Branch 18 executed: true
Branch 20 executed: true
Branch 43 executed: true
Branch 59 executed: true
Branch 68 executed: true
Branch 81 executed: true
Branch 84 executed: true
Branch 64 executed: false
Branch 69 executed: true
Branch 82 executed: true
Branch 85 executed: true
Branch 93 executed: true
Branch 51 executed: true
Branch 3 executed: true
Branch 19 executed: true
Branch 46 executed: true
Branch 100 executed: true
Branch 31 executed: true
Branch 34 executed: false
Branch 35 executed: false
Branch 47 executed: true
Branch 63 executed: false
Branch 78 executed: true
Branch 86 executed: true
Branch 88 executed: true
Branch 55 executed: true
Branch 2 executed: true
Branch 75 executed: true
Branch 94 executed: true
Branch 53 executed: true
Branch 1 executed: true
Branch 10 executed: true
Branch 21 executed: true
Branch 32 executed: true
Branch 33 executed: true
Branch 36 executed: true
Branch 90 executed: true
Branch 5 executed: true
Branch 30 executed: true
Branch 60 executed: true
Branch 95 executed: true
Branch 99 executed: true
Branch 101 executed: true
Branch 17 executed: true
Branch 24 executed: true
Branch 28 executed: true
Branch 42 executed: true
Branch 56 executed: false
Branch 61 executed: true
Branch 89 executed: true
Branch 96 executed: true
Branch 15 executed: true
Branch 27 executed: true
Branch coverage: 94.12%
--- End of Report ---
