--- Branch Coverage Report ---
Branch 25 executed: true
Branch 29 executed: true
Branch 33 executed: true
Branch 35 executed: true
Branch 0 executed: true
Branch 5 executed: true
Branch 28 executed: true
Branch 38 executed: true
Branch 40 executed: true
Branch 42 executed: true
Branch 49 executed: true
Branch 50 executed: true
Branch 2 executed: true
Branch 19 executed: true
Branch 22 executed: true
Branch 24 executed: true
Branch 34 executed: true
Branch 41 executed: true
Branch 47 executed: true
Branch 48 executed: true
Branch 10 executed: true
Branch 36 executed: true
Branch 53 executed: false
Branch 3 executed: true
Branch 4 executed: true
Branch 14 executed: false
Branch 16 executed: true
Branch 20 executed: true
Branch 27 executed: true
Branch 39 executed: true
Branch 43 executed: true
Branch 11 executed: true
Branch 15 executed: true
Branch 17 executed: true
Branch 31 executed: true
Branch 37 executed: true
Branch 44 executed: true
Branch 45 executed: true
Branch 46 executed: true
Branch 12 executed: true
Branch 51 executed: true
Branch 52 executed: true
Branch 1 executed: true
Branch 7 executed: true
Branch 8 executed: true
Branch 18 executed: true
Branch 21 executed: true
Branch 26 executed: true
Branch 30 executed: true
Branch 32 executed: true
Branch 6 executed: true
Branch 9 executed: true
Branch 13 executed: true
Branch 23 executed: true
Branch coverage: 96.30%
--- End of Report ---
