--- Branch Coverage Report ---
Branch 22 executed: true
Branch 39 executed: true
Branch 51 executed: true
Branch 37 executed: true
Branch 49 executed: true
Branch 56 executed: true
Branch 54 executed: false
Branch 6 executed: false
Branch 9 executed: true
Branch 16 executed: false
Branch 52 executed: true
Branch 26 executed: true
Branch 36 executed: true
Branch 46 executed: false
Branch 1 executed: true
Branch 17 executed: false
Branch 25 executed: true
Branch 33 executed: true
Branch 34 executed: true
Branch 43 executed: true
Branch 48 executed: true
Branch 2 executed: false
Branch 32 executed: true
Branch 44 executed: true
Branch 45 executed: true
Branch 14 executed: true
Branch 41 executed: true
Branch 4 executed: true
Branch 28 executed: false
Branch 55 executed: false
Branch 3 executed: true
Branch 8 executed: true
Branch 23 executed: true
Branch 53 executed: true
Branch 5 executed: true
Branch 7 executed: true
Branch 19 executed: true
Branch 24 executed: true
Branch 57 executed: true
Branch 12 executed: true
Branch 40 executed: true
Branch 47 executed: true
Branch 50 executed: true
Branch 11 executed: false
Branch 27 executed: true
Branch 31 executed: true
Branch 18 executed: true
Branch 30 executed: true
Branch 10 executed: true
Branch 13 executed: false
Branch 15 executed: true
Branch 20 executed: true
Branch 29 executed: true
Branch 35 executed: true
Branch 38 executed: true
Branch 58 executed: true
Branch 21 executed: true
Branch 42 executed: true
Branch 0 executed: true
Branch coverage: 83.05%
--- End of Report ---
